Diameter [mm],Volume [mm³],Voxel,Surface [mm²],Compactness,Sphericity
0.0126,6.3e-07,52,0.0005191,0.60,0.69
0.0121,6.0e-07,49,0.0004979,0.65,0.69
0.0121,6.2e-07,51,0.0005085,0.67,0.69
0.0118,4.8e-07,39,0.0004449,0.55,0.66
0.0120,5.7e-07,47,0.0004767,0.63,0.70
0.0120,5.6e-07,46,0.0004873,0.63,0.67
0.0135,7.7e-07,63,0.0006038,0.60,0.67
0.0132,5.0e-07,41,0.0004873,0.41,0.63
0.0120,5.4e-07,44,0.0004555,0.60,0.70
0.0123,5.9e-07,48,0.0004873,0.60,0.69
0.0118,4.9e-07,40,0.0004449,0.57,0.67
0.0118,5.1e-07,42,0.0004555,0.60,0.68
0.0117,4.5e-07,37,0.0004449,0.53,0.64
0.0118,4.8e-07,39,0.0004449,0.55,0.66
0.0120,5.5e-07,45,0.0004873,0.60,0.67
0.0117,4.6e-07,38,0.0004449,0.55,0.65
0.0120,5.7e-07,47,0.0004767,0.63,0.70
0.0121,6.2e-07,51,0.0005085,0.67,0.69
0.0125,5.6e-07,46,0.0004661,0.55,0.71
0.0127,6.3e-07,52,0.0005191,0.59,0.69
0.0138,7.6e-07,62,0.0005932,0.55,0.68
0.0120,4.6e-07,38,0.0004343,0.52,0.67
0.0127,6.0e-07,49,0.0004979,0.55,0.69
0.0122,5.1e-07,42,0.0004555,0.53,0.68
0.0120,4.9e-07,40,0.0004449,0.54,0.67
0.0117,5.6e-07,46,0.0004555,0.66,0.72
0.0114,4.5e-07,37,0.0004131,0.59,0.69
0.0114,4.6e-07,38,0.0004343,0.59,0.67
0.0118,4.8e-07,39,0.0004449,0.55,0.66
0.0120,5.2e-07,43,0.0004661,0.58,0.67
0.0155,9.4e-07,77,0.0007097,0.48,0.65
0.0113,5.1e-07,42,0.0004449,0.68,0.70
0.0112,4.8e-07,39,0.0004237,0.65,0.70
0.0144,8.0e-07,66,0.0006250,0.52,0.67
0.0128,6.7e-07,55,0.0005191,0.60,0.71
0.0125,6.0e-07,49,0.0004979,0.59,0.69
0.0120,5.2e-07,43,0.0004661,0.58,0.67
0.0161,1.1e-06,91,0.0007839,0.51,0.66
0.0125,6.3e-07,52,0.0005296,0.62,0.67
0.0110,4.3e-07,35,0.0004131,0.61,0.66
0.0120,5.5e-07,45,0.0004555,0.61,0.71
0.0126,6.2e-07,51,0.0005297,0.59,0.67
0.0118,4.8e-07,39,0.0004555,0.55,0.65
0.0139,8.7e-07,71,0.0006568,0.61,0.67
0.0132,5.5e-07,45,0.0004873,0.45,0.67
0.0111,4.6e-07,38,0.0004343,0.64,0.67
0.0126,6.2e-07,51,0.0005085,0.59,0.69
0.0113,5.0e-07,41,0.0004449,0.66,0.68
0.0118,5.1e-07,42,0.0004555,0.60,0.68
0.0118,4.6e-07,38,0.0004343,0.54,0.67
0.0112,4.8e-07,39,0.0004343,0.65,0.68
0.0117,5.4e-07,44,0.0004449,0.64,0.72
0.0118,4.9e-07,40,0.0004555,0.56,0.66
0.0138,9.0e-07,74,0.0006674,0.65,0.68
0.0117,4.8e-07,39,0.0004555,0.56,0.65
0.0128,6.3e-07,52,0.0005191,0.58,0.69
0.0126,5.7e-07,47,0.0004979,0.54,0.67
0.0160,1.0e-06,85,0.0007945,0.48,0.62
0.0120,5.0e-07,41,0.0004449,0.56,0.68
0.0124,6.1e-07,50,0.0005191,0.60,0.67
0.0112,4.8e-07,39,0.0004237,0.65,0.70
0.0117,5.6e-07,46,0.0004555,0.66,0.72
0.0115,5.2e-07,43,0.0004449,0.66,0.71
0.0622,6.1e-05,5037,0.0109002,0.49,0.69
0.0124,5.6e-07,46,0.0005296,0.56,0.62
0.0121,6.0e-07,49,0.0005085,0.65,0.67
0.0132,5.6e-07,46,0.0004979,0.46,0.66
0.0121,5.1e-07,42,0.0004767,0.55,0.65
0.0117,5.4e-07,44,0.0004449,0.64,0.72
