Diameter [mm],Volume [mm³],Voxel,Surface [mm²],Compactness,Sphericity
0.0173,1.7e-06,143,0.0010487,0.64,0.67
0.0239,4.4e-06,361,0.0019385,0.61,0.67
0.0056,9.8e-08,8,0.0001271,1.00,0.81
0.0198,2.5e-06,203,0.0013029,0.61,0.68
0.0286,6.8e-06,557,0.0026059,0.56,0.67
0.0076,1.1e-07,9,0.0001483,0.47,0.75
0.0082,1.6e-07,13,0.0002119,0.55,0.67
0.0075,9.8e-08,8,0.0001483,0.45,0.69
0.0078,1.2e-07,10,0.0001801,0.49,0.66
0.0300,5.7e-06,466,0.0023940,0.40,0.64
0.0330,8.4e-06,688,0.0031355,0.44,0.64
0.0056,9.8e-08,8,0.0001271,1.00,0.81
0.0073,9.8e-08,8,0.0001483,0.48,0.69
0.0076,1.1e-07,9,0.0001589,0.47,0.70
0.0288,7.4e-06,611,0.0028283,0.60,0.65
0.0180,2.0e-06,167,0.0011546,0.66,0.67
0.0154,1.1e-06,92,0.0007309,0.58,0.71
0.0365,1.5e-05,1271,0.0045762,0.61,0.66
0.0073,1.2e-07,10,0.0001801,0.60,0.66
0.0193,2.3e-06,185,0.0012606,0.60,0.66
0.0159,1.3e-06,110,0.0008580,0.63,0.69
0.0228,3.9e-06,318,0.0017690,0.63,0.67
0.0212,3.4e-06,277,0.0015889,0.67,0.68
0.0361,1.4e-05,1134,0.0042054,0.56,0.66
0.0348,1.1e-05,879,0.0036864,0.48,0.64
0.0209,2.6e-06,211,0.0013453,0.54,0.67
0.0073,9.8e-08,8,0.0001483,0.48,0.69
0.0075,1.1e-07,9,0.0001695,0.49,0.65
0.0709,3.5e-05,2840,0.0098091,0.19,0.52
0.0078,1.3e-07,11,0.0001801,0.53,0.70
0.0171,1.7e-06,140,0.0010699,0.65,0.65
0.0209,3.0e-06,250,0.0015148,0.64,0.67
0.0078,1.2e-07,10,0.0001801,0.49,0.66
0.0350,1.4e-05,1185,0.0043537,0.64,0.66
0.0355,1.6e-05,1342,0.0047986,0.70,0.65
0.0432,1.3e-05,1093,0.0045868,0.32,0.59
0.0178,2.0e-06,162,0.0011652,0.66,0.65
0.0078,1.3e-07,11,0.0001907,0.53,0.66
0.0247,5.1e-06,419,0.0021398,0.65,0.67
0.0307,7.1e-06,582,0.0027860,0.47,0.64
0.0343,1.4e-05,1156,0.0042266,0.66,0.67
0.0235,4.1e-06,334,0.0018114,0.60,0.68
0.0073,9.8e-08,8,0.0001483,0.48,0.69
0.0378,1.7e-05,1422,0.0049363,0.61,0.66
0.0167,1.7e-06,136,0.0009957,0.68,0.68
0.0081,1.5e-07,12,0.0001907,0.52,0.70
0.0153,1.2e-06,95,0.0007945,0.61,0.67
0.0073,1.1e-07,9,0.0001695,0.54,0.65
0.0234,3.4e-06,276,0.0016419,0.50,0.66
0.0081,1.3e-07,11,0.0001801,0.48,0.70
0.0080,1.3e-07,11,0.0002013,0.50,0.63
0.0208,3.1e-06,253,0.0015148,0.65,0.68
0.0347,1.5e-05,1226,0.0044808,0.69,0.65
0.0362,1.7e-05,1410,0.0049893,0.69,0.65
0.0369,1.6e-05,1319,0.0046821,0.61,0.66
0.0317,9.2e-06,758,0.0033262,0.56,0.64
0.0078,1.2e-07,10,0.0001695,0.48,0.70
0.0252,5.4e-06,440,0.0021398,0.64,0.69
0.0153,1.1e-06,87,0.0007203,0.57,0.70
0.0430,1.6e-05,1284,0.0047774,0.37,0.63
0.0076,1.2e-07,10,0.0001589,0.52,0.75
0.0330,1.0e-05,858,0.0036122,0.55,0.64
0.0247,4.8e-06,390,0.0020445,0.60,0.67
0.0056,9.8e-08,8,0.0001271,1.00,0.81
0.0188,2.2e-06,180,0.0012182,0.63,0.67
0.0353,1.4e-05,1186,0.0043113,0.63,0.67
0.0399,1.8e-05,1471,0.0051164,0.54,0.65
0.0181,1.9e-06,158,0.0010805,0.62,0.69
0.0279,6.6e-06,542,0.0025847,0.58,0.66
0.0073,9.8e-08,8,0.0001483,0.48,0.69
0.0073,9.8e-08,8,0.0001483,0.48,0.69
0.0076,1.1e-07,9,0.0001483,0.47,0.75
0.0081,1.5e-07,12,0.0002013,0.52,0.67
0.0249,3.9e-06,321,0.0017902,0.48,0.67
0.0298,9.3e-06,762,0.0032520,0.67,0.66
0.0175,1.9e-06,156,0.0010699,0.67,0.69
0.0176,1.9e-06,155,0.0011123,0.66,0.66
0.0193,2.5e-06,206,0.0013135,0.66,0.68
0.0344,1.5e-05,1229,0.0044385,0.70,0.66
0.0196,2.6e-06,210,0.0013559,0.65,0.67
0.0188,2.3e-06,185,0.0012712,0.65,0.65
0.0075,9.8e-08,8,0.0001483,0.45,0.69
0.0075,1.1e-07,9,0.0001695,0.49,0.65
0.0261,4.1e-06,336,0.0019279,0.44,0.64
0.0076,1.1e-07,9,0.0001483,0.47,0.75
0.0079,1.2e-07,10,0.0001801,0.48,0.66
0.0076,1.1e-07,9,0.0001483,0.47,0.75
0.0078,1.2e-07,10,0.0001801,0.49,0.66
0.0399,2.0e-05,1620,0.0054448,0.59,0.65
0.0346,1.4e-05,1173,0.0043113,0.66,0.66
0.0256,5.0e-06,410,0.0021398,0.57,0.66
0.0331,1.2e-05,972,0.0037711,0.63,0.67
0.0302,9.1e-06,745,0.0031991,0.63,0.66
0.0076,1.1e-07,9,0.0001483,0.47,0.75
0.0075,1.1e-07,9,0.0001695,0.49,0.65
0.0170,1.7e-06,143,0.0010169,0.68,0.69
0.0161,1.4e-06,115,0.0008898,0.64,0.68
0.0211,2.8e-06,232,0.0014724,0.58,0.66
0.0148,1.1e-06,91,0.0007415,0.65,0.70
0.0271,6.1e-06,504,0.0024893,0.59,0.65
0.0056,9.8e-08,8,0.0001271,1.00,0.81
0.0417,1.5e-05,1255,0.0047562,0.40,0.63
0.0075,1.1e-07,9,0.0001695,0.49,0.65
0.0334,1.2e-05,987,0.0039194,0.62,0.65
0.0363,1.6e-05,1310,0.0046715,0.64,0.66
0.0211,2.9e-06,239,0.0015148,0.59,0.65
0.0331,1.4e-05,1163,0.0042160,0.74,0.67
0.0318,1.0e-05,855,0.0035169,0.62,0.66
0.0240,3.4e-06,278,0.0016631,0.47,0.66
0.0073,9.8e-08,8,0.0001483,0.48,0.69
0.0355,1.4e-05,1131,0.0043431,0.59,0.64
0.0297,9.0e-06,740,0.0032097,0.65,0.65
0.0105,2.1e-07,17,0.0002542,0.34,0.67
0.0073,1.1e-07,9,0.0001695,0.54,0.65
0.0081,1.5e-07,12,0.0002013,0.52,0.67
0.0228,3.3e-06,274,0.0016313,0.54,0.66
0.0317,1.0e-05,821,0.0033262,0.60,0.68
0.0073,1.2e-07,10,0.0001801,0.60,0.66
0.0244,4.6e-06,380,0.0019703,0.61,0.68
0.0340,1.2e-05,1023,0.0039830,0.60,0.65
0.0078,1.2e-07,10,0.0001801,0.48,0.66
0.0073,1.2e-07,10,0.0001801,0.60,0.66
0.0073,1.1e-07,9,0.0001695,0.54,0.65
0.0168,1.5e-06,127,0.0009428,0.63,0.69
0.0335,1.2e-05,1014,0.0039936,0.63,0.65
0.0224,3.7e-06,302,0.0016949,0.63,0.68
0.0294,9.1e-06,743,0.0031037,0.68,0.68
0.0075,9.8e-08,8,0.0001483,0.45,0.69
0.0244,4.5e-06,372,0.0019915,0.59,0.67
0.0201,2.3e-06,188,0.0012500,0.54,0.67
0.0315,9.8e-06,806,0.0032944,0.60,0.67
0.0195,2.5e-06,206,0.0013347,0.64,0.67
0.0170,1.7e-06,139,0.0010381,0.66,0.66
0.0073,1.2e-07,10,0.0001801,0.60,0.66
0.0672,3.5e-05,2866,0.0093218,0.22,0.55
0.0298,8.7e-06,717,0.0031038,0.63,0.66
0.0348,1.5e-05,1233,0.0044385,0.68,0.66
0.0351,1.3e-05,1105,0.0042690,0.60,0.64
0.0076,1.1e-07,9,0.0001483,0.47,0.75
0.0076,1.2e-07,10,0.0001589,0.52,0.75
0.0075,1.1e-07,9,0.0001695,0.49,0.65
0.0377,1.7e-05,1363,0.0046927,0.59,0.67
0.0056,9.8e-08,8,0.0001271,1.00,0.81
0.0166,1.4e-06,114,0.0008898,0.58,0.68
0.0308,9.5e-06,778,0.0032626,0.62,0.66
0.0165,1.4e-06,113,0.0009428,0.59,0.64
0.0321,1.1e-05,938,0.0036334,0.66,0.68
0.0353,1.3e-05,1107,0.0041736,0.59,0.66
0.0360,1.6e-05,1293,0.0046291,0.65,0.66
0.0555,2.9e-05,2414,0.0076058,0.33,0.61
0.0078,1.3e-07,11,0.0001801,0.53,0.70
0.0073,1.1e-07,9,0.0001695,0.54,0.65
0.0293,7.4e-06,608,0.0027965,0.57,0.66
0.0075,9.8e-08,8,0.0001695,0.44,0.60
0.0075,9.8e-08,8,0.0001589,0.44,0.64
0.0075,9.8e-08,8,0.0001483,0.45,0.69
0.0209,3.0e-06,250,0.0014830,0.64,0.69
0.0343,1.2e-05,980,0.0038453,0.56,0.66
0.0073,9.8e-08,8,0.0001589,0.48,0.64
0.0360,1.7e-05,1410,0.0048516,0.70,0.66
0.0076,1.3e-07,11,0.0001695,0.58,0.75
0.0348,1.6e-05,1274,0.0045550,0.71,0.66
0.0348,1.7e-05,1364,0.0047457,0.75,0.66
0.0326,1.3e-05,1026,0.0039194,0.69,0.66
0.0073,1.1e-07,9,0.0001695,0.54,0.65
0.0076,1.2e-07,10,0.0001589,0.52,0.75
0.0279,5.6e-06,463,0.0023304,0.50,0.66
0.0172,1.7e-06,139,0.0010169,0.64,0.68
0.0076,1.1e-07,9,0.0001589,0.47,0.70
0.0299,9.8e-06,801,0.0032626,0.70,0.68
0.0212,3.1e-06,253,0.0014830,0.62,0.69
0.0073,1.2e-07,10,0.0001801,0.60,0.66
0.0073,1.2e-07,10,0.0001801,0.60,0.66
0.0209,2.5e-06,202,0.0013453,0.52,0.66
0.0076,9.8e-08,8,0.0001483,0.42,0.69
0.0251,4.4e-06,357,0.0019597,0.53,0.66
0.0258,5.9e-06,482,0.0023305,0.65,0.68
0.0268,5.9e-06,483,0.0023834,0.59,0.66
0.0323,9.9e-06,816,0.0034533,0.56,0.65
0.0073,9.8e-08,8,0.0001589,0.48,0.64
0.0236,3.4e-06,279,0.0016737,0.49,0.65
0.0334,1.3e-05,1060,0.0040253,0.66,0.66
0.0079,1.3e-07,11,0.0002013,0.52,0.63
0.0073,9.8e-08,8,0.0001483,0.48,0.69
0.0255,5.4e-06,443,0.0022351,0.62,0.67
0.0076,1.1e-07,9,0.0001589,0.47,0.70
0.0201,2.4e-06,200,0.0012712,0.57,0.69
0.0082,1.7e-07,14,0.0002013,0.60,0.74
0.0073,1.2e-07,10,0.0001801,0.60,0.66
0.0283,7.0e-06,578,0.0027118,0.60,0.66
0.0224,2.9e-06,241,0.0015148,0.50,0.65
0.0384,1.6e-05,1348,0.0047562,0.56,0.66
0.0359,1.5e-05,1217,0.0044385,0.61,0.66
0.0387,1.5e-05,1239,0.0045762,0.50,0.65
0.0253,4.9e-06,402,0.0020868,0.58,0.67
0.0073,9.8e-08,8,0.0001483,0.48,0.69
0.0252,4.7e-06,385,0.0020233,0.56,0.67
0.0076,1.1e-07,9,0.0001483,0.47,0.75
0.0316,8.1e-06,663,0.0030402,0.49,0.64
0.0075,9.8e-08,8,0.0001483,0.45,0.69
0.0076,1.3e-07,11,0.0001695,0.58,0.75
0.0273,7.0e-06,576,0.0026376,0.66,0.67
0.0222,2.8e-06,232,0.0014195,0.49,0.68
0.0213,2.7e-06,222,0.0013983,0.54,0.67
0.0056,9.8e-08,8,0.0001271,1.00,0.81
0.0078,1.5e-07,12,0.0001907,0.58,0.70
0.0076,1.1e-07,9,0.0001589,0.47,0.70
0.0174,1.7e-06,143,0.0010593,0.64,0.66
0.0180,2.0e-06,167,0.0011440,0.66,0.68
0.0173,1.7e-06,142,0.0010487,0.64,0.66
0.0443,1.9e-05,1543,0.0055931,0.41,0.61
0.0223,1.6e-06,132,0.0010381,0.28,0.64
0.0206,2.8e-06,228,0.0014512,0.61,0.66
0.0078,1.2e-07,10,0.0001695,0.48,0.70
0.0331,1.3e-05,1060,0.0040041,0.68,0.67
0.0213,2.6e-06,216,0.0013665,0.52,0.67
0.0230,3.8e-06,309,0.0017584,0.59,0.67
0.0169,1.8e-06,146,0.0010169,0.70,0.70
0.0207,2.3e-06,185,0.0012288,0.48,0.68
0.0073,1.1e-07,9,0.0001695,0.54,0.65
0.0073,9.8e-08,8,0.0001483,0.48,0.69
0.0358,1.7e-05,1389,0.0048304,0.71,0.66
0.0056,9.8e-08,8,0.0001271,1.00,0.81
0.0076,1.1e-07,9,0.0001589,0.47,0.70
0.0076,1.1e-07,9,0.0001483,0.47,0.75
0.0365,1.5e-05,1220,0.0044279,0.59,0.66
0.0334,1.4e-05,1163,0.0042160,0.73,0.67
0.0378,2.1e-05,1684,0.0055507,0.73,0.65
0.0056,9.8e-08,8,0.0001271,1.00,0.81
0.0196,2.2e-06,179,0.0011864,0.55,0.69
0.0076,1.1e-07,9,0.0001589,0.47,0.70
0.0223,3.7e-06,306,0.0017267,0.65,0.67
0.0222,2.8e-06,231,0.0014830,0.49,0.65
0.0076,1.2e-07,10,0.0001589,0.52,0.75
0.0335,1.1e-05,869,0.0035063,0.54,0.67
0.0056,9.8e-08,8,0.0001271,1.00,0.81
0.0364,1.7e-05,1386,0.0048198,0.67,0.66
0.0684,4.4e-05,3590,0.0104870,0.26,0.57
0.0236,3.9e-06,324,0.0018114,0.58,0.67
0.0182,1.7e-06,141,0.0010275,0.54,0.68
0.0371,1.9e-05,1556,0.0051906,0.71,0.66
0.0353,1.6e-05,1326,0.0046715,0.70,0.66
0.0076,1.1e-07,9,0.0001483,0.47,0.75
0.0262,6.3e-06,514,0.0023834,0.66,0.69
0.0078,1.2e-07,10,0.0001801,0.48,0.66
0.0369,1.2e-05,951,0.0039194,0.44,0.63
0.0346,1.6e-05,1282,0.0045444,0.72,0.67
0.0215,3.1e-06,253,0.0015572,0.59,0.66
0.0207,2.9e-06,242,0.0014936,0.64,0.67
0.0075,9.8e-08,8,0.0001695,0.44,0.60
0.0191,2.2e-06,182,0.0012394,0.61,0.66
0.0076,1.1e-07,9,0.0001589,0.47,0.70
0.0076,1.2e-07,10,0.0001589,0.52,0.75
0.0349,1.4e-05,1184,0.0043007,0.65,0.67
0.0290,8.8e-06,724,0.0029978,0.69,0.69
0.0347,1.3e-05,1058,0.0040677,0.59,0.65
0.0166,1.6e-06,130,0.0009746,0.66,0.67
0.0073,9.8e-08,8,0.0001589,0.48,0.64
0.0359,1.7e-05,1408,0.0048622,0.71,0.66
0.0159,1.2e-06,102,0.0008157,0.59,0.69
0.0364,1.7e-05,1400,0.0048622,0.68,0.66
0.0076,1.1e-07,9,0.0001589,0.47,0.70
0.0075,1.1e-07,9,0.0001695,0.49,0.65
0.0194,2.4e-06,193,0.0012818,0.61,0.67
0.0283,7.3e-06,597,0.0027436,0.61,0.66
0.0344,1.6e-05,1272,0.0044702,0.73,0.67
0.0242,4.2e-06,348,0.0018644,0.57,0.68
0.0350,1.6e-05,1319,0.0046397,0.71,0.66
0.0076,1.1e-07,9,0.0001483,0.47,0.75
0.0328,1.2e-05,949,0.0037075,0.63,0.67
0.0366,1.9e-05,1560,0.0052859,0.74,0.65
0.0189,2.2e-06,181,0.0012076,0.62,0.68
0.0075,9.8e-08,8,0.0001695,0.44,0.60
0.0298,8.2e-06,670,0.0029978,0.59,0.65
0.0218,3.5e-06,291,0.0016737,0.65,0.67
0.0191,2.5e-06,204,0.0013135,0.68,0.68
0.0192,2.0e-06,168,0.0011970,0.56,0.65
0.0435,2.0e-05,1648,0.0054872,0.47,0.65
0.0231,3.7e-06,305,0.0017055,0.57,0.68
0.0073,9.8e-08,8,0.0001483,0.48,0.69
0.0183,1.9e-06,153,0.0010699,0.58,0.68
0.0346,1.6e-05,1336,0.0047563,0.75,0.65
0.0354,1.3e-05,1043,0.0039724,0.55,0.66
0.0178,2.0e-06,164,0.0010805,0.68,0.71
0.0075,9.8e-08,8,0.0001695,0.44,0.60
0.0076,1.1e-07,9,0.0001483,0.47,0.75
0.0075,9.8e-08,8,0.0001483,0.45,0.69
0.0076,1.1e-07,9,0.0001483,0.47,0.75
0.0075,1.1e-07,9,0.0001801,0.49,0.62
0.0075,9.8e-08,8,0.0001483,0.45,0.69
0.0124,5.0e-07,41,0.0004237,0.50,0.72
0.0076,1.1e-07,9,0.0001483,0.47,0.75
0.0196,2.2e-06,179,0.0012288,0.56,0.66
0.0056,9.8e-08,8,0.0001271,1.00,0.81
0.0076,1.1e-07,9,0.0001483,0.47,0.75
0.0374,1.4e-05,1129,0.0043537,0.50,0.64
0.0364,1.8e-05,1470,0.0049999,0.71,0.66
0.0075,9.8e-08,8,0.0001695,0.44,0.60
0.0073,1.1e-07,9,0.0001695,0.54,0.65
0.0073,1.1e-07,9,0.0001695,0.54,0.65
0.0232,3.1e-06,252,0.0015042,0.47,0.68
0.0073,9.8e-08,8,0.0001589,0.48,0.64
0.0170,1.5e-06,126,0.0009745,0.60,0.66
0.0076,1.3e-07,11,0.0001695,0.58,0.75
0.0385,1.6e-05,1327,0.0047139,0.54,0.66
0.0293,9.1e-06,744,0.0031037,0.69,0.68
0.0076,1.1e-07,9,0.0001483,0.47,0.75
0.0366,1.5e-05,1228,0.0044385,0.59,0.66
0.0315,1.1e-05,936,0.0037393,0.70,0.66
0.0073,9.8e-08,8,0.0001483,0.48,0.69
0.0166,1.5e-06,121,0.0009428,0.62,0.66
0.0210,2.5e-06,205,0.0013983,0.51,0.64
0.0273,5.8e-06,474,0.0022987,0.54,0.68
0.0354,1.5e-05,1199,0.0043537,0.63,0.66
0.0164,1.5e-06,121,0.0009534,0.64,0.66
0.0360,1.7e-05,1412,0.0048304,0.70,0.67
0.0358,1.6e-05,1306,0.0046609,0.66,0.66
0.0228,4.0e-06,332,0.0017584,0.66,0.70
0.0345,1.6e-05,1285,0.0044702,0.73,0.68
0.0056,9.8e-08,8,0.0001271,1.00,0.81
0.0368,1.5e-05,1228,0.0045762,0.57,0.64
0.0079,1.3e-07,11,0.0001907,0.51,0.66
0.0374,1.5e-05,1192,0.0044490,0.53,0.65
0.0250,4.9e-06,401,0.0020444,0.59,0.68
0.0373,2.0e-05,1644,0.0054130,0.74,0.66
0.0241,3.8e-06,309,0.0017584,0.52,0.67
0.0076,1.1e-07,9,0.0001483,0.47,0.75
0.0208,2.7e-06,224,0.0014512,0.58,0.65
0.0170,1.8e-06,149,0.0010275,0.71,0.70
0.0259,5.4e-06,445,0.0022457,0.60,0.66
0.0176,1.7e-06,136,0.0010169,0.58,0.67
0.0167,1.5e-06,124,0.0009216,0.62,0.69
0.0073,1.2e-07,10,0.0001801,0.60,0.66
0.0075,9.8e-08,8,0.0001695,0.44,0.60
0.0170,1.6e-06,135,0.0010275,0.64,0.66
0.0076,1.3e-07,11,0.0001695,0.58,0.75
0.0076,1.2e-07,10,0.0001589,0.52,0.75
0.0480,2.6e-05,2116,0.0067265,0.44,0.63
0.0213,3.3e-06,267,0.0015254,0.64,0.70
0.0075,1.1e-07,9,0.0001801,0.49,0.62
0.0350,1.3e-05,1082,0.0041736,0.59,0.65
0.0253,5.1e-06,415,0.0021822,0.60,0.65
0.0209,2.9e-06,237,0.0014195,0.61,0.69
0.0165,1.6e-06,129,0.0009534,0.67,0.69
0.0166,1.6e-06,129,0.0009852,0.65,0.66
0.0358,1.8e-05,1489,0.0050317,0.76,0.66
0.0529,2.5e-05,2073,0.0069384,0.33,0.60
0.0375,1.6e-05,1276,0.0045656,0.56,0.66
0.0421,1.9e-05,1562,0.0053071,0.49,0.65
0.0359,1.5e-05,1243,0.0044173,0.63,0.67
0.0377,1.6e-05,1353,0.0047774,0.59,0.66
0.0076,1.3e-07,11,0.0001695,0.58,0.75
0.0076,1.1e-07,9,0.0001483,0.47,0.75
0.0354,1.5e-05,1196,0.0043749,0.63,0.66
0.0372,1.6e-05,1338,0.0047033,0.61,0.66
0.0328,1.3e-05,1038,0.0039724,0.68,0.66
0.0345,1.5e-05,1247,0.0043749,0.71,0.68
0.0076,1.2e-07,10,0.0001695,0.52,0.70
0.0211,3.4e-06,281,0.0015784,0.70,0.70
0.0210,2.8e-06,227,0.0014195,0.57,0.67
0.0399,2.0e-05,1649,0.0054872,0.60,0.65
0.0367,1.8e-05,1505,0.0050846,0.71,0.66
0.0378,1.9e-05,1535,0.0052329,0.66,0.65
0.0206,2.9e-06,234,0.0014301,0.62,0.68
0.0175,1.9e-06,158,0.0010699,0.68,0.70
0.0073,1.2e-07,10,0.0001801,0.60,0.66
0.0358,1.6e-05,1299,0.0046503,0.66,0.66
0.0073,9.8e-08,8,0.0001483,0.48,0.69
0.0073,9.8e-08,8,0.0001483,0.48,0.69
0.0326,1.1e-05,935,0.0036652,0.63,0.67
0.0056,9.8e-08,8,0.0001271,1.00,0.81
0.0073,9.8e-08,8,0.0001483,0.48,0.69
0.0326,1.0e-05,835,0.0034427,0.56,0.66
0.0214,3.2e-06,260,0.0015254,0.61,0.68
0.0158,1.4e-06,116,0.0009004,0.69,0.68
0.0166,1.5e-06,125,0.0009428,0.63,0.68
0.0345,1.4e-05,1167,0.0042690,0.66,0.67
0.0175,1.9e-06,152,0.0011017,0.66,0.66
0.0075,9.8e-08,8,0.0001483,0.45,0.69
0.0073,9.8e-08,8,0.0001589,0.48,0.64
0.0056,9.8e-08,8,0.0001271,1.00,0.81
0.0182,2.0e-06,166,0.0011546,0.64,0.67
0.0220,3.6e-06,292,0.0017055,0.64,0.66
0.0353,1.3e-05,1105,0.0041313,0.58,0.66
0.0347,1.4e-05,1189,0.0043219,0.66,0.67
0.0076,1.2e-07,10,0.0001589,0.52,0.75
0.0076,1.1e-07,9,0.0001483,0.47,0.75
0.0209,3.1e-06,258,0.0015148,0.66,0.69
0.0076,1.1e-07,9,0.0001483,0.47,0.75
0.0117,6.8e-07,56,0.0005085,0.81,0.74
0.0076,1.1e-07,9,0.0001483,0.47,0.75
0.0161,1.4e-06,117,0.0009004,0.66,0.68
0.0200,2.2e-06,184,0.0012288,0.54,0.67
0.0082,1.7e-07,14,0.0002013,0.60,0.74
0.0322,1.1e-05,942,0.0036652,0.66,0.67
0.0076,1.3e-07,11,0.0001695,0.58,0.75
0.0076,1.2e-07,10,0.0001589,0.52,0.75
0.0075,9.8e-08,8,0.0001695,0.44,0.60
0.0383,1.8e-05,1470,0.0050740,0.61,0.65
0.0169,1.3e-06,110,0.0008792,0.53,0.67
0.0056,9.8e-08,8,0.0001271,1.00,0.81
0.0278,6.2e-06,509,0.0024470,0.55,0.67
0.0166,1.5e-06,123,0.0009534,0.62,0.66
0.0076,1.2e-07,10,0.0001695,0.52,0.70
0.0191,2.3e-06,191,0.0012394,0.64,0.69
0.0327,1.3e-05,1053,0.0040677,0.70,0.65
0.0199,2.1e-06,173,0.0011758,0.51,0.68
0.0331,1.3e-05,1093,0.0040571,0.70,0.67
0.0073,9.8e-08,8,0.0001589,0.48,0.64
0.0394,2.1e-05,1704,0.0055825,0.65,0.65
0.0197,2.2e-06,182,0.0012288,0.55,0.67
0.0188,2.3e-06,185,0.0012394,0.65,0.67
0.0318,1.1e-05,941,0.0036546,0.68,0.67
0.0178,1.8e-06,148,0.0010699,0.61,0.67
0.0056,9.8e-08,8,0.0001271,1.00,0.81
0.0076,1.1e-07,9,0.0001483,0.47,0.75
0.0359,1.6e-05,1279,0.0044808,0.65,0.67
0.0350,1.5e-05,1224,0.0044385,0.67,0.66
0.0163,1.4e-06,115,0.0009216,0.62,0.66
0.0076,1.1e-07,9,0.0001483,0.47,0.75
0.0198,2.6e-06,211,0.0013453,0.63,0.67
0.0413,1.8e-05,1494,0.0051906,0.49,0.64
0.0056,9.8e-08,8,0.0001271,1.00,0.81
0.0056,9.8e-08,8,0.0001271,1.00,0.81
0.0073,9.8e-08,8,0.0001483,0.48,0.69
0.0380,2.1e-05,1688,0.0055507,0.71,0.65
0.0076,1.1e-07,9,0.0001483,0.47,0.75
0.0364,1.9e-05,1592,0.0052329,0.77,0.67
0.0379,1.4e-05,1181,0.0044702,0.50,0.64
0.0176,1.9e-06,154,0.0011123,0.66,0.66
0.0078,1.1e-07,9,0.0001695,0.43,0.65
0.0082,1.7e-07,14,0.0002013,0.60,0.74
0.0216,3.1e-06,254,0.0015360,0.59,0.67
0.0300,8.9e-06,732,0.0031567,0.63,0.66
0.0321,7.1e-06,586,0.0027859,0.41,0.64
0.0414,1.9e-05,1567,0.0052965,0.51,0.65
0.0363,1.4e-05,1143,0.0042478,0.55,0.66
0.0172,1.8e-06,150,0.0010487,0.69,0.69
0.0173,1.7e-06,138,0.0010699,0.62,0.64
0.0394,1.7e-05,1409,0.0050211,0.53,0.64
0.0328,9.0e-06,735,0.0031567,0.49,0.66
0.0076,9.8e-08,8,0.0001483,0.42,0.69
0.0173,1.8e-06,151,0.0010487,0.68,0.69
0.0378,1.6e-05,1310,0.0047245,0.56,0.65
0.0076,1.1e-07,9,0.0001483,0.47,0.75
0.0172,1.7e-06,140,0.0010487,0.64,0.66
0.0075,1.1e-07,9,0.0001801,0.49,0.62
0.0073,1.1e-07,9,0.0001695,0.54,0.65
0.0381,1.7e-05,1408,0.0048516,0.59,0.66
0.0073,1.1e-07,9,0.0001695,0.54,0.65
0.0073,9.8e-08,8,0.0001589,0.48,0.64
0.0204,2.6e-06,212,0.0014089,0.58,0.65
0.0193,1.4e-06,113,0.0008898,0.37,0.67
0.0076,1.1e-07,9,0.0001483,0.47,0.75
0.0365,1.4e-05,1185,0.0042902,0.57,0.67
0.0329,1.2e-05,1016,0.0039830,0.67,0.65
0.0073,1.1e-07,9,0.0001695,0.54,0.65
0.0389,1.7e-05,1395,0.0049999,0.55,0.64
0.0175,1.8e-06,150,0.0010487,0.65,0.69
0.0351,1.4e-05,1185,0.0042266,0.64,0.68
0.0083,9.8e-08,8,0.0001483,0.33,0.69
0.0334,1.3e-05,1032,0.0039300,0.64,0.67
0.0355,1.7e-05,1403,0.0047986,0.73,0.67
0.0275,5.4e-06,444,0.0023728,0.50,0.63
0.0400,1.9e-05,1545,0.0052965,0.56,0.65
0.0446,1.8e-05,1511,0.0052859,0.40,0.64
0.0183,2.1e-06,175,0.0011864,0.66,0.68
0.0364,1.2e-05,1023,0.0039406,0.49,0.66
0.0168,1.5e-06,125,0.0009216,0.61,0.69
0.0204,2.9e-06,241,0.0014406,0.66,0.69
0.0076,1.5e-07,12,0.0001695,0.63,0.79
0.0073,9.8e-08,8,0.0001483,0.48,0.69
0.0191,1.9e-06,159,0.0011017,0.53,0.68
0.0224,2.5e-06,208,0.0013877,0.43,0.65
0.0385,1.6e-05,1338,0.0047986,0.54,0.65
0.0056,9.8e-08,8,0.0001271,1.00,0.81
0.0056,9.8e-08,8,0.0001271,1.00,0.81
0.0371,1.5e-05,1226,0.0044596,0.56,0.66
0.0366,1.6e-05,1351,0.0046821,0.64,0.67
0.0076,1.5e-07,12,0.0001695,0.63,0.79
0.0365,2.0e-05,1626,0.0053601,0.78,0.66
0.0088,1.7e-07,14,0.0002224,0.47,0.67
0.0056,9.8e-08,8,0.0001271,1.00,0.81
0.0199,2.4e-06,197,0.0012923,0.58,0.67
0.0075,9.8e-08,8,0.0001589,0.44,0.64
0.0076,1.1e-07,9,0.0001483,0.47,0.75
0.0360,1.6e-05,1331,0.0045974,0.66,0.67
0.0351,1.7e-05,1432,0.0049045,0.77,0.66
0.0078,1.2e-07,10,0.0001801,0.49,0.66
0.0374,1.4e-05,1130,0.0043431,0.50,0.64
0.0198,2.4e-06,198,0.0013241,0.59,0.66
0.0145,1.1e-06,87,0.0007097,0.66,0.71
0.0171,1.7e-06,138,0.0010169,0.64,0.67
0.0056,9.8e-08,8,0.0001271,1.00,0.81
