Radius [mm],Diameter [mm],Volume [mm³],Voxel,Surface [mm²],Compactness,Sphericity
0.0252,0.0505,3.9e-05,2363,0.0084549,0.58,0.66
0.0231,0.0463,3.5e-05,2089,0.0076472,0.67,0.67
0.0236,0.0472,3.8e-05,2290,0.0081683,0.69,0.67
0.0293,0.0587,5.0e-05,3000,0.0102006,0.47,0.64
0.0316,0.0633,5.2e-05,3142,0.0107347,0.39,0.63
0.0411,0.0823,7.3e-05,4419,0.0154637,0.25,0.55
0.0227,0.0453,3.8e-05,2287,0.0081943,0.78,0.67
0.0362,0.0725,6.0e-05,3619,0.0128452,0.30,0.58
0.0471,0.0943,9.0e-05,5402,0.0203751,0.20,0.48
0.0230,0.0461,3.8e-05,2277,0.0081422,0.74,0.67
0.0247,0.0495,3.8e-05,2276,0.0082464,0.60,0.66
0.0341,0.0682,5.7e-05,3440,0.0114121,0.34,0.63
0.0243,0.0486,4.1e-05,2478,0.0088066,0.68,0.66
0.0257,0.0514,4.5e-05,2691,0.0093017,0.63,0.66
0.0238,0.0475,4.1e-05,2477,0.0087285,0.73,0.66
0.0243,0.0487,3.8e-05,2268,0.0081553,0.63,0.67
0.0223,0.0445,3.2e-05,1937,0.0072563,0.70,0.67
0.0265,0.0529,3.9e-05,2336,0.0084288,0.50,0.66
0.0298,0.0596,5.3e-05,3193,0.0108259,0.48,0.63
0.0231,0.0462,3.8e-05,2264,0.0081422,0.73,0.67
0.0233,0.0466,3.8e-05,2263,0.0080771,0.71,0.67
0.0269,0.0537,4.1e-05,2469,0.0087285,0.50,0.66
0.0324,0.0647,5.9e-05,3527,0.0116075,0.41,0.63
0.0330,0.0660,5.9e-05,3563,0.0124413,0.39,0.59
0.0367,0.0735,6.5e-05,3895,0.0127670,0.31,0.61
0.0234,0.0467,3.2e-05,1922,0.0072433,0.60,0.67
0.0310,0.0621,5.3e-05,3166,0.0107608,0.42,0.63
0.0231,0.0462,3.8e-05,2305,0.0082725,0.74,0.66
0.0216,0.0433,3.2e-05,1907,0.0072042,0.75,0.67
0.0289,0.0577,4.9e-05,2976,0.0099009,0.49,0.66
0.0290,0.0581,4.9e-05,2975,0.0101354,0.48,0.64
0.0244,0.0488,4.0e-05,2432,0.0085721,0.67,0.66
0.0232,0.0464,3.8e-05,2295,0.0082334,0.73,0.67
0.0237,0.0474,4.0e-05,2430,0.0086242,0.72,0.66
0.0229,0.0459,3.7e-05,2226,0.0081162,0.73,0.66
0.0263,0.0526,3.8e-05,2293,0.0084549,0.50,0.65
0.0316,0.0633,5.0e-05,2988,0.0105263,0.37,0.62
0.0239,0.0477,3.5e-05,2089,0.0077774,0.61,0.66
0.0218,0.0436,3.2e-05,1896,0.0072433,0.73,0.67
0.0231,0.0462,3.4e-05,2022,0.0075039,0.65,0.67
0.0369,0.0738,6.4e-05,3834,0.0127409,0.30,0.61
0.0256,0.0513,4.2e-05,2552,0.0089369,0.60,0.66
0.0290,0.0580,4.7e-05,2820,0.0097316,0.46,0.65
0.0238,0.0476,3.8e-05,2282,0.0082595,0.67,0.66
0.0306,0.0612,4.9e-05,2977,0.0102787,0.41,0.63
0.0293,0.0586,4.9e-05,2977,0.0102397,0.47,0.64
0.0220,0.0440,3.1e-05,1888,0.0072303,0.70,0.67
0.0286,0.0572,4.0e-05,2410,0.0087285,0.41,0.65
0.0240,0.0480,3.8e-05,2275,0.0082595,0.65,0.66
0.0228,0.0455,3.8e-05,2273,0.0082855,0.76,0.66
0.0219,0.0439,3.3e-05,2008,0.0074518,0.75,0.67
0.0254,0.0509,3.9e-05,2333,0.0084549,0.56,0.66
0.0224,0.0448,3.1e-05,1881,0.0070870,0.66,0.68
0.0236,0.0473,3.4e-05,2072,0.0076602,0.62,0.67
0.0242,0.0483,3.7e-05,2201,0.0080641,0.62,0.66
0.0302,0.0603,4.7e-05,2802,0.0099531,0.40,0.63
0.0317,0.0634,5.0e-05,3019,0.0106696,0.38,0.62
0.0235,0.0470,3.8e-05,2267,0.0081292,0.69,0.67
0.0217,0.0434,3.3e-05,2004,0.0074387,0.78,0.67
0.0245,0.0490,3.5e-05,2127,0.0077384,0.58,0.67
0.0235,0.0470,3.3e-05,2000,0.0074908,0.61,0.67
0.0320,0.0640,4.9e-05,2952,0.0107347,0.36,0.60
0.0246,0.0492,3.9e-05,2319,0.0084288,0.62,0.65
0.0248,0.0497,3.3e-05,1994,0.0075951,0.52,0.66
0.0337,0.0673,5.7e-05,3452,0.0118421,0.36,0.61
0.0301,0.0602,5.1e-05,3049,0.0105523,0.44,0.63
0.0369,0.0739,6.3e-05,3819,0.0125065,0.30,0.62
0.0354,0.0708,5.9e-05,3530,0.0124283,0.32,0.59
0.0240,0.0480,3.6e-05,2180,0.0078817,0.63,0.67
0.0225,0.0450,3.4e-05,2051,0.0076732,0.72,0.66
0.0218,0.0437,3.1e-05,1861,0.0071130,0.71,0.67
0.0256,0.0513,3.5e-05,2102,0.0078296,0.49,0.66
0.0239,0.0477,3.9e-05,2368,0.0084288,0.69,0.66
0.0223,0.0446,3.4e-05,2042,0.0076081,0.73,0.67
0.0215,0.0430,3.3e-05,1977,0.0074127,0.79,0.67
0.0308,0.0616,5.0e-05,2996,0.0111907,0.41,0.59
0.0230,0.0459,3.5e-05,2099,0.0076993,0.69,0.67
0.0215,0.0429,3.3e-05,1975,0.0073736,0.79,0.67
0.0236,0.0472,3.8e-05,2293,0.0083116,0.69,0.66
0.0310,0.0621,5.2e-05,3107,0.0105914,0.41,0.63
0.0223,0.0446,3.3e-05,1973,0.0072824,0.71,0.68
0.0229,0.0459,3.4e-05,2037,0.0075951,0.67,0.67
