Radius [mm],Diameter [mm],Volume [mm³],Voxel,Surface [mm²],Compactness,Sphericity
0.0054,0.0108,3.5e-07,21,0.0003517,0.53,0.68
0.0046,0.0092,2.3e-07,14,0.0002736,0.57,0.67
0.0070,0.0139,8.3e-07,50,0.0006514,0.59,0.66
0.0094,0.0188,5.2e-07,31,0.0005341,0.15,0.58
0.0059,0.0118,4.5e-07,27,0.0003908,0.53,0.73
0.0066,0.0133,6.8e-07,41,0.0005602,0.56,0.67
0.0058,0.0116,4.5e-07,27,0.0004299,0.55,0.66
0.0079,0.0158,8.6e-07,52,0.0006905,0.42,0.64
0.0075,0.0151,8.3e-07,50,0.0006514,0.46,0.66
0.0060,0.0119,5.0e-07,30,0.0004429,0.56,0.69
0.0042,0.0085,1.8e-07,11,0.0002084,0.58,0.75
0.0065,0.0130,6.2e-07,37,0.0005341,0.53,0.65
0.0042,0.0083,1.5e-07,9,0.0002215,0.49,0.62
0.0054,0.0108,4.0e-07,24,0.0003908,0.60,0.67
0.0072,0.0144,6.5e-07,39,0.0005732,0.42,0.63
0.0061,0.0122,6.0e-07,36,0.0004820,0.63,0.71
0.0066,0.0133,7.5e-07,45,0.0005732,0.61,0.70
0.0054,0.0108,4.2e-07,25,0.0004039,0.63,0.67
0.0059,0.0119,5.3e-07,32,0.0004820,0.61,0.66
0.0044,0.0087,2.0e-07,12,0.0002345,0.58,0.70
0.0071,0.0141,9.3e-07,56,0.0007165,0.63,0.64
0.0050,0.0100,3.5e-07,21,0.0003517,0.67,0.68
0.0054,0.0108,3.3e-07,20,0.0003648,0.50,0.64
0.0049,0.0097,1.7e-07,10,0.0002345,0.35,0.62
0.0050,0.0100,3.5e-07,21,0.0003517,0.67,0.68
0.0062,0.0124,6.6e-07,40,0.0005341,0.67,0.69
0.0065,0.0131,6.8e-07,41,0.0005602,0.59,0.67
0.0054,0.0108,3.3e-07,20,0.0003517,0.50,0.66
0.0065,0.0130,6.2e-07,37,0.0005341,0.53,0.65
0.0062,0.0124,6.5e-07,39,0.0005211,0.65,0.70
0.0066,0.0133,6.2e-07,37,0.0005341,0.50,0.65
0.0054,0.0107,3.7e-07,22,0.0003517,0.57,0.70
0.0043,0.0087,1.7e-07,10,0.0002215,0.49,0.66
0.0069,0.0138,8.3e-07,50,0.0006514,0.60,0.66
0.0054,0.0108,4.7e-07,28,0.0004169,0.70,0.70
0.0071,0.0142,9.3e-07,56,0.0007035,0.62,0.66
0.0063,0.0125,5.2e-07,31,0.0004169,0.50,0.75
0.0060,0.0120,5.2e-07,31,0.0004299,0.56,0.72
0.0060,0.0120,5.2e-07,31,0.0004299,0.57,0.72
0.0060,0.0120,5.2e-07,31,0.0004299,0.57,0.72
0.0063,0.0125,5.2e-07,31,0.0004169,0.50,0.75
0.0071,0.0142,9.0e-07,54,0.0006905,0.59,0.65
0.0069,0.0138,8.0e-07,48,0.0006514,0.58,0.64
0.0073,0.0147,6.6e-07,40,0.0005862,0.40,0.63
0.0065,0.0130,6.3e-07,38,0.0005341,0.55,0.67
0.0068,0.0136,8.3e-07,50,0.0006253,0.64,0.68
0.0054,0.0108,3.7e-07,22,0.0003778,0.55,0.65
0.0069,0.0138,8.3e-07,50,0.0006384,0.60,0.67
0.0071,0.0142,8.3e-07,50,0.0006384,0.56,0.67
0.0071,0.0143,8.3e-07,50,0.0006514,0.54,0.66
0.0090,0.0179,1.0e-06,60,0.0007817,0.33,0.62
0.0071,0.0142,8.3e-07,50,0.0006514,0.55,0.66
0.0079,0.0157,1.0e-06,60,0.0007295,0.49,0.66
0.0080,0.0160,8.3e-07,50,0.0006774,0.39,0.63
0.0069,0.0137,8.3e-07,50,0.0006383,0.61,0.67
0.0069,0.0137,8.3e-07,50,0.0006253,0.62,0.68
0.0069,0.0138,8.3e-07,50,0.0006384,0.60,0.67
0.0069,0.0137,8.3e-07,50,0.0006383,0.61,0.67
0.0068,0.0136,8.3e-07,50,0.0006253,0.64,0.68
0.0090,0.0180,1.0e-06,60,0.0007426,0.33,0.65
0.0072,0.0144,8.3e-07,50,0.0006253,0.54,0.68
0.0069,0.0137,8.3e-07,50,0.0006383,0.61,0.67
0.0070,0.0141,8.3e-07,50,0.0006253,0.57,0.68
0.0070,0.0140,8.3e-07,50,0.0006383,0.58,0.67
0.0072,0.0144,8.3e-07,50,0.0006384,0.54,0.67
0.0069,0.0138,8.3e-07,50,0.0006644,0.61,0.64
0.0069,0.0138,8.3e-07,50,0.0006384,0.60,0.67
0.0071,0.0142,8.3e-07,50,0.0006384,0.55,0.67
0.0089,0.0179,1.0e-06,60,0.0007295,0.33,0.66
0.0069,0.0138,8.3e-07,50,0.0006514,0.60,0.66
0.0082,0.0165,1.0e-06,60,0.0007556,0.43,0.64
0.0069,0.0137,8.3e-07,50,0.0006384,0.61,0.67
0.0068,0.0136,8.3e-07,50,0.0006383,0.63,0.67
0.0068,0.0136,8.3e-07,50,0.0006253,0.64,0.68
0.0070,0.0140,8.3e-07,50,0.0006514,0.58,0.66
0.0073,0.0147,8.3e-07,50,0.0006774,0.50,0.63
0.0069,0.0138,8.3e-07,50,0.0006384,0.60,0.67
0.0078,0.0155,1.0e-06,60,0.0007556,0.51,0.64
0.0070,0.0140,8.3e-07,50,0.0006253,0.57,0.68
0.0079,0.0158,8.3e-07,50,0.0006774,0.40,0.63
0.0068,0.0136,8.3e-07,50,0.0006253,0.64,0.68
0.0069,0.0139,8.3e-07,50,0.0006383,0.60,0.67
0.0079,0.0157,1.0e-06,60,0.0007165,0.49,0.67
0.0070,0.0140,8.3e-07,50,0.0006774,0.57,0.63
0.0069,0.0139,8.3e-07,50,0.0006644,0.59,0.64
0.0069,0.0138,8.3e-07,50,0.0006514,0.60,0.66
0.0069,0.0137,8.3e-07,50,0.0006253,0.61,0.68
0.0077,0.0154,8.3e-07,50,0.0006644,0.44,0.64
0.0068,0.0136,8.3e-07,50,0.0006253,0.64,0.68
0.0076,0.0152,8.3e-07,50,0.0006644,0.45,0.64
0.0069,0.0137,8.3e-07,50,0.0006384,0.62,0.67
0.0070,0.0139,8.3e-07,50,0.0006514,0.59,0.66
0.0074,0.0148,8.3e-07,50,0.0006644,0.49,0.64
0.0069,0.0137,7.0e-07,42,0.0005862,0.52,0.65
0.0070,0.0140,7.0e-07,42,0.0005602,0.48,0.68
0.0069,0.0137,6.5e-07,39,0.0005602,0.48,0.65
0.0061,0.0123,6.0e-07,36,0.0005081,0.61,0.68
0.0044,0.0087,1.8e-07,11,0.0002345,0.53,0.66
0.0064,0.0127,7.0e-07,42,0.0005472,0.64,0.70
0.0056,0.0111,4.0e-07,24,0.0003778,0.55,0.69
0.0054,0.0108,3.2e-07,19,0.0003648,0.47,0.61
0.0065,0.0130,6.5e-07,39,0.0005341,0.56,0.68
0.0074,0.0149,7.8e-07,47,0.0006123,0.45,0.67
0.0068,0.0135,8.0e-07,48,0.0006644,0.62,0.63
0.0045,0.0090,2.2e-07,13,0.0002736,0.56,0.64
0.0050,0.0101,3.7e-07,22,0.0003517,0.68,0.70
0.0045,0.0090,2.3e-07,14,0.0002475,0.60,0.74
0.0085,0.0169,9.6e-07,58,0.0007556,0.38,0.62
0.0066,0.0131,7.0e-07,42,0.0005732,0.59,0.66
0.0057,0.0113,3.8e-07,23,0.0003908,0.51,0.65
0.0062,0.0124,6.0e-07,36,0.0005081,0.60,0.68
0.0070,0.0140,6.5e-07,39,0.0005211,0.45,0.70
0.0072,0.0144,1.0e-06,60,0.0007947,0.63,0.61
0.0056,0.0113,4.2e-07,25,0.0003778,0.55,0.71
0.0073,0.0146,9.1e-07,55,0.0007035,0.56,0.65
0.0053,0.0107,3.3e-07,20,0.0003517,0.52,0.66
0.0069,0.0137,7.1e-07,43,0.0005732,0.53,0.67
0.0059,0.0118,5.2e-07,31,0.0004690,0.59,0.66
0.0062,0.0124,6.6e-07,40,0.0005341,0.66,0.69
0.0079,0.0158,9.3e-07,56,0.0006774,0.45,0.68
0.0048,0.0097,2.8e-07,17,0.0002866,0.59,0.73
0.0072,0.0145,8.5e-07,51,0.0006514,0.53,0.67
0.0060,0.0120,5.0e-07,30,0.0004560,0.55,0.67
0.0045,0.0090,2.2e-07,13,0.0002475,0.56,0.70
0.0049,0.0098,3.2e-07,19,0.0003257,0.63,0.69
0.0086,0.0172,1.2e-06,71,0.0008077,0.45,0.67
0.0053,0.0105,2.8e-07,17,0.0003127,0.46,0.67
0.0082,0.0164,9.6e-07,58,0.0007165,0.42,0.66
0.0047,0.0094,2.5e-07,15,0.0002866,0.57,0.67
0.0062,0.0124,5.8e-07,35,0.0005081,0.59,0.66
0.0059,0.0119,5.5e-07,33,0.0004950,0.62,0.65
0.0045,0.0090,2.2e-07,13,0.0002475,0.56,0.70
0.0079,0.0158,8.8e-07,53,0.0007165,0.43,0.62
0.0044,0.0089,2.0e-07,12,0.0002606,0.55,0.63
0.0047,0.0093,2.5e-07,15,0.0002736,0.58,0.70
0.0053,0.0107,3.3e-07,20,0.0003387,0.52,0.69
0.0062,0.0124,6.2e-07,37,0.0005081,0.62,0.69
0.0060,0.0119,5.2e-07,31,0.0004429,0.58,0.70
0.0068,0.0135,7.0e-07,42,0.0005732,0.54,0.66
0.0061,0.0121,5.3e-07,32,0.0004560,0.57,0.70
0.0168,0.0337,2.8e-06,171,0.0018239,0.14,0.53
0.0069,0.0137,6.3e-07,38,0.0005211,0.46,0.68
0.0063,0.0125,6.8e-07,41,0.0005472,0.66,0.68
0.0060,0.0120,4.5e-07,27,0.0004039,0.49,0.70
0.0071,0.0143,8.3e-07,50,0.0006253,0.55,0.68
0.0057,0.0114,4.5e-07,27,0.0004169,0.58,0.68
0.0044,0.0087,1.8e-07,11,0.0002215,0.53,0.70
0.0066,0.0133,5.3e-07,32,0.0005081,0.43,0.62
0.0061,0.0123,5.8e-07,35,0.0005081,0.60,0.66
0.0067,0.0133,7.0e-07,42,0.0005732,0.57,0.66
0.0059,0.0119,4.7e-07,28,0.0004169,0.53,0.70
0.0065,0.0130,5.8e-07,35,0.0005211,0.50,0.65
0.0092,0.0183,9.8e-07,59,0.0007947,0.31,0.60
0.0079,0.0157,8.5e-07,51,0.0006644,0.42,0.65
0.0042,0.0085,1.5e-07,9,0.0001824,0.47,0.75
0.0062,0.0124,6.0e-07,36,0.0005081,0.60,0.68
0.0069,0.0137,7.0e-07,42,0.0006253,0.51,0.61
0.0049,0.0097,2.5e-07,15,0.0002866,0.52,0.67
0.0062,0.0124,5.2e-07,31,0.0004820,0.52,0.64
0.0058,0.0117,4.5e-07,27,0.0003908,0.54,0.73
0.0058,0.0115,4.3e-07,26,0.0004039,0.54,0.68
0.0050,0.0101,3.7e-07,22,0.0003517,0.68,0.70
0.0120,0.0241,1.6e-06,98,0.0011725,0.22,0.57
0.0050,0.0101,2.5e-07,15,0.0002736,0.47,0.70
0.0070,0.0139,7.0e-07,42,0.0005602,0.50,0.68
0.0064,0.0129,7.1e-07,43,0.0005472,0.64,0.71
0.0069,0.0137,6.5e-07,39,0.0005341,0.48,0.68
0.0054,0.0108,3.7e-07,22,0.0003778,0.55,0.65
0.0059,0.0118,4.7e-07,28,0.0004429,0.55,0.66
0.0054,0.0108,3.8e-07,23,0.0003778,0.58,0.67
0.0097,0.0195,1.0e-06,61,0.0008207,0.26,0.59
0.0087,0.0173,9.8e-07,59,0.0007035,0.36,0.68
0.0071,0.0142,8.3e-07,50,0.0006253,0.56,0.68
0.0057,0.0115,4.0e-07,24,0.0003778,0.50,0.69
0.0042,0.0085,1.5e-07,9,0.0001824,0.47,0.75
0.0124,0.0248,1.6e-06,94,0.0011073,0.19,0.59
0.0081,0.0163,9.8e-07,59,0.0007556,0.44,0.63
0.0071,0.0143,9.1e-07,55,0.0006514,0.60,0.70
0.0070,0.0140,6.5e-07,39,0.0005081,0.45,0.71
0.0076,0.0152,5.7e-07,34,0.0005472,0.31,0.60
0.0073,0.0147,9.5e-07,57,0.0006905,0.57,0.68
0.0066,0.0131,7.0e-07,42,0.0005732,0.59,0.66
0.0042,0.0085,1.5e-07,9,0.0001824,0.47,0.75
0.0044,0.0087,1.8e-07,11,0.0002215,0.53,0.70
0.0071,0.0141,7.1e-07,43,0.0006253,0.48,0.62
0.0045,0.0090,2.3e-07,14,0.0002475,0.60,0.74
0.0042,0.0085,1.5e-07,9,0.0001824,0.47,0.75
0.0070,0.0140,7.3e-07,44,0.0005862,0.51,0.67
0.0043,0.0087,1.7e-07,10,0.0002345,0.49,0.62
0.0075,0.0151,9.5e-07,57,0.0007165,0.53,0.65
0.0058,0.0115,4.5e-07,27,0.0004299,0.56,0.66
0.0056,0.0112,4.0e-07,24,0.0004039,0.54,0.65
0.0061,0.0123,6.0e-07,36,0.0005081,0.61,0.68
0.0050,0.0101,3.2e-07,19,0.0003127,0.59,0.72
0.0071,0.0142,7.8e-07,47,0.0006253,0.52,0.66
0.0061,0.0123,6.2e-07,37,0.0005211,0.63,0.67
0.0054,0.0108,4.8e-07,29,0.0004560,0.73,0.65
0.0053,0.0106,3.3e-07,20,0.0003387,0.53,0.69
0.0066,0.0131,4.7e-07,28,0.0004299,0.39,0.68
0.0045,0.0090,2.2e-07,13,0.0002736,0.56,0.64
0.0045,0.0090,2.2e-07,13,0.0002475,0.56,0.70
0.0070,0.0141,8.1e-07,49,0.0006774,0.56,0.62
0.0044,0.0087,1.8e-07,11,0.0002345,0.53,0.66
0.0062,0.0124,5.8e-07,35,0.0005211,0.59,0.65
0.0059,0.0118,4.3e-07,26,0.0003908,0.51,0.71
0.0065,0.0130,5.8e-07,35,0.0005211,0.50,0.65
0.0064,0.0128,6.5e-07,39,0.0005341,0.59,0.68
0.0064,0.0128,5.8e-07,35,0.0004950,0.53,0.68
0.0043,0.0087,1.7e-07,10,0.0002215,0.49,0.66
0.0053,0.0107,3.5e-07,21,0.0003517,0.54,0.68
0.0066,0.0133,6.5e-07,39,0.0005472,0.53,0.66
0.0065,0.0130,7.1e-07,43,0.0005732,0.62,0.67
0.0059,0.0118,4.2e-07,25,0.0004169,0.48,0.65
0.0059,0.0118,4.7e-07,28,0.0004169,0.55,0.70
0.0072,0.0144,7.0e-07,42,0.0005862,0.45,0.65
0.0070,0.0140,8.8e-07,53,0.0006774,0.61,0.66
0.0093,0.0186,1.0e-06,62,0.0007426,0.31,0.66
0.0104,0.0207,1.6e-06,97,0.0010943,0.35,0.61
0.0071,0.0142,5.8e-07,35,0.0005081,0.39,0.66
0.0042,0.0085,1.5e-07,9,0.0001824,0.47,0.75
0.0059,0.0119,5.2e-07,31,0.0004429,0.59,0.70
0.0054,0.0108,3.7e-07,22,0.0003517,0.55,0.70
0.0053,0.0105,3.8e-07,23,0.0003517,0.63,0.72
0.0050,0.0101,3.8e-07,23,0.0003517,0.72,0.72
0.0052,0.0104,3.8e-07,23,0.0003517,0.65,0.72
0.0053,0.0105,3.8e-07,23,0.0003517,0.63,0.72
0.0052,0.0104,3.8e-07,23,0.0003517,0.65,0.72
0.0052,0.0104,3.8e-07,23,0.0003517,0.65,0.72
0.0053,0.0105,3.8e-07,23,0.0003517,0.63,0.72
0.0052,0.0104,3.8e-07,23,0.0003517,0.65,0.72
0.0053,0.0105,3.8e-07,23,0.0003517,0.63,0.72
0.0050,0.0101,3.8e-07,23,0.0003517,0.72,0.72
0.0050,0.0101,3.8e-07,23,0.0003517,0.72,0.72
0.0053,0.0105,3.8e-07,23,0.0003387,0.63,0.75
0.0052,0.0104,3.8e-07,23,0.0003517,0.65,0.72
0.0050,0.0101,3.8e-07,23,0.0003517,0.72,0.72
0.0050,0.0101,3.8e-07,23,0.0003517,0.72,0.72
0.0052,0.0104,3.8e-07,23,0.0003517,0.65,0.72
0.0050,0.0101,3.8e-07,23,0.0003517,0.72,0.72
0.0050,0.0101,3.8e-07,23,0.0003517,0.72,0.72
0.0050,0.0101,3.8e-07,23,0.0003517,0.72,0.72
0.0065,0.0130,6.5e-07,39,0.0005602,0.56,0.65
0.0052,0.0104,3.8e-07,23,0.0003517,0.65,0.72
0.0050,0.0101,3.8e-07,23,0.0003517,0.72,0.72
0.0050,0.0101,3.8e-07,23,0.0003517,0.72,0.72
0.0050,0.0101,3.8e-07,23,0.0003517,0.72,0.72
0.0053,0.0105,3.8e-07,23,0.0003517,0.63,0.72
0.0049,0.0098,3.2e-07,19,0.0003257,0.63,0.69
0.0059,0.0118,4.7e-07,28,0.0004039,0.55,0.72
0.0049,0.0098,2.8e-07,17,0.0002996,0.58,0.70
0.0070,0.0140,7.3e-07,44,0.0005862,0.51,0.67
0.0049,0.0098,2.8e-07,17,0.0002996,0.57,0.70
0.0058,0.0117,4.8e-07,29,0.0004299,0.58,0.69
0.0066,0.0133,7.1e-07,43,0.0005602,0.58,0.69
0.0045,0.0090,2.2e-07,13,0.0002736,0.56,0.64
0.0051,0.0102,1.7e-07,10,0.0002084,0.30,0.70
0.0047,0.0093,2.5e-07,15,0.0002736,0.58,0.70
0.0087,0.0174,1.2e-06,72,0.0008598,0.43,0.63
0.0087,0.0173,1.0e-06,63,0.0007817,0.39,0.64
0.0054,0.0108,2.8e-07,17,0.0003387,0.43,0.61
0.0075,0.0149,9.1e-07,55,0.0006774,0.53,0.67
0.0091,0.0181,1.1e-06,65,0.0008207,0.35,0.62
0.0058,0.0116,4.5e-07,27,0.0004169,0.55,0.68
0.0064,0.0128,5.3e-07,32,0.0004690,0.49,0.68
0.0059,0.0118,4.5e-07,27,0.0004299,0.52,0.66
0.0069,0.0138,6.3e-07,38,0.0005732,0.46,0.62
0.0064,0.0129,7.0e-07,42,0.0005472,0.63,0.70
0.0061,0.0122,5.8e-07,35,0.0004820,0.62,0.70
0.0063,0.0127,5.2e-07,31,0.0004820,0.48,0.64
0.0058,0.0116,4.2e-07,25,0.0004039,0.51,0.67
0.0057,0.0115,4.3e-07,26,0.0003908,0.55,0.71
0.0069,0.0137,6.8e-07,41,0.0005602,0.50,0.67
0.0053,0.0106,3.2e-07,19,0.0003257,0.51,0.69
0.0066,0.0131,6.3e-07,38,0.0005472,0.53,0.65
0.0066,0.0133,6.3e-07,38,0.0005472,0.52,0.65
0.0056,0.0112,3.7e-07,22,0.0003648,0.49,0.68
0.0055,0.0111,3.7e-07,22,0.0003517,0.51,0.70
0.0053,0.0105,3.8e-07,23,0.0003517,0.63,0.72
0.0054,0.0108,3.7e-07,22,0.0003778,0.55,0.65
0.0073,0.0146,9.5e-07,57,0.0006905,0.59,0.68
0.0059,0.0118,4.5e-07,27,0.0004169,0.52,0.68
0.0063,0.0127,5.7e-07,34,0.0004820,0.53,0.69
0.0066,0.0131,4.8e-07,29,0.0004560,0.41,0.65
0.0054,0.0108,3.3e-07,20,0.0003517,0.50,0.66
0.0053,0.0106,3.3e-07,20,0.0003387,0.53,0.69
0.0087,0.0174,1.3e-06,77,0.0008989,0.46,0.63
0.0060,0.0121,5.7e-07,34,0.0004820,0.62,0.69
0.0064,0.0127,6.2e-07,37,0.0005211,0.57,0.67
0.0069,0.0138,7.6e-07,46,0.0006644,0.55,0.61
0.0057,0.0115,4.3e-07,26,0.0003908,0.55,0.71
0.0059,0.0118,4.7e-07,28,0.0004299,0.54,0.68
0.0064,0.0129,6.8e-07,41,0.0005341,0.61,0.70
0.0058,0.0117,4.0e-07,24,0.0003778,0.48,0.69
0.0066,0.0133,7.0e-07,42,0.0005732,0.57,0.66
0.0073,0.0147,7.1e-07,43,0.0005993,0.43,0.65
0.0049,0.0098,2.8e-07,17,0.0003127,0.57,0.67
0.0058,0.0117,4.5e-07,27,0.0004169,0.54,0.68
0.0087,0.0173,1.1e-06,69,0.0008338,0.42,0.64
0.0054,0.0108,3.7e-07,22,0.0003648,0.55,0.68
0.0047,0.0094,2.5e-07,15,0.0002866,0.57,0.67
0.0061,0.0123,5.7e-07,34,0.0004820,0.58,0.69
0.0073,0.0147,9.3e-07,56,0.0006905,0.56,0.67
0.0063,0.0125,5.5e-07,33,0.0004690,0.53,0.69
0.0049,0.0098,2.7e-07,16,0.0002996,0.54,0.67
0.0056,0.0112,4.2e-07,25,0.0004039,0.56,0.67
0.0059,0.0118,5.5e-07,33,0.0004820,0.63,0.67
0.0061,0.0122,6.5e-07,39,0.0005211,0.68,0.70
0.0065,0.0130,7.5e-07,45,0.0005602,0.65,0.71
0.0050,0.0101,3.7e-07,22,0.0003517,0.68,0.70
0.0070,0.0139,8.0e-07,48,0.0006123,0.57,0.68
0.0063,0.0126,6.3e-07,38,0.0005211,0.60,0.68
0.0042,0.0085,1.5e-07,9,0.0001824,0.47,0.75
0.0056,0.0111,3.8e-07,23,0.0003648,0.53,0.70
0.0043,0.0087,1.3e-07,8,0.0001954,0.39,0.64
0.0073,0.0146,9.8e-07,59,0.0007035,0.60,0.68
0.0086,0.0172,1.0e-06,60,0.0007947,0.37,0.61
0.0066,0.0131,7.1e-07,43,0.0005732,0.60,0.67
0.0048,0.0097,2.8e-07,17,0.0002866,0.59,0.73
0.0066,0.0133,6.3e-07,38,0.0005472,0.51,0.65
0.0061,0.0122,5.0e-07,30,0.0004560,0.52,0.67
0.0058,0.0117,4.8e-07,29,0.0004429,0.58,0.67
0.0045,0.0090,2.2e-07,13,0.0002345,0.56,0.74
0.0066,0.0133,6.6e-07,40,0.0005472,0.54,0.67
0.0054,0.0108,3.3e-07,20,0.0003648,0.50,0.64
0.0043,0.0087,1.7e-07,10,0.0002084,0.48,0.70
0.0066,0.0133,7.3e-07,44,0.0005993,0.60,0.66
0.0068,0.0136,7.3e-07,44,0.0005862,0.55,0.67
0.0067,0.0134,7.3e-07,44,0.0005732,0.59,0.68
0.0066,0.0133,7.3e-07,44,0.0005862,0.59,0.67
0.0066,0.0133,7.3e-07,44,0.0005862,0.60,0.67
0.0066,0.0133,7.3e-07,44,0.0005862,0.60,0.67
0.0070,0.0140,7.3e-07,44,0.0005862,0.51,0.67
0.0069,0.0139,7.3e-07,44,0.0005993,0.53,0.66
0.0066,0.0131,7.3e-07,44,0.0005862,0.62,0.67
0.0066,0.0133,7.3e-07,44,0.0005732,0.60,0.68
0.0066,0.0133,7.3e-07,44,0.0005732,0.59,0.68
0.0067,0.0135,7.3e-07,44,0.0005862,0.57,0.67
0.0066,0.0133,7.3e-07,44,0.0005862,0.60,0.67
0.0067,0.0133,7.3e-07,44,0.0005862,0.59,0.67
0.0066,0.0133,7.3e-07,44,0.0005732,0.59,0.68
0.0070,0.0140,7.3e-07,44,0.0006123,0.51,0.64
0.0066,0.0133,7.3e-07,44,0.0005862,0.60,0.67
0.0066,0.0133,7.3e-07,44,0.0005602,0.60,0.70
0.0069,0.0137,7.3e-07,44,0.0005862,0.54,0.67
0.0066,0.0133,7.3e-07,44,0.0005862,0.60,0.67
0.0073,0.0147,7.3e-07,44,0.0005732,0.44,0.68
0.0071,0.0142,7.3e-07,44,0.0005862,0.48,0.67
0.0065,0.0131,7.3e-07,44,0.0005732,0.63,0.68
0.0066,0.0133,7.3e-07,44,0.0005732,0.59,0.68
0.0066,0.0133,7.3e-07,44,0.0005862,0.60,0.67
0.0066,0.0133,7.3e-07,44,0.0005602,0.60,0.70
0.0066,0.0133,7.3e-07,44,0.0005862,0.60,0.67
0.0066,0.0133,7.3e-07,44,0.0005862,0.60,0.67
0.0068,0.0135,7.3e-07,44,0.0005732,0.57,0.68
0.0066,0.0133,7.3e-07,44,0.0005862,0.60,0.67
0.0066,0.0133,7.3e-07,44,0.0005862,0.60,0.67
0.0074,0.0149,7.3e-07,44,0.0005993,0.43,0.66
0.0071,0.0142,7.3e-07,44,0.0005862,0.49,0.67
0.0066,0.0133,7.3e-07,44,0.0005862,0.60,0.67
0.0066,0.0133,7.3e-07,44,0.0005732,0.60,0.68
0.0068,0.0136,7.3e-07,44,0.0005732,0.55,0.68
0.0066,0.0133,7.3e-07,44,0.0005732,0.60,0.68
0.0070,0.0140,7.3e-07,44,0.0005732,0.51,0.68
0.0070,0.0140,7.3e-07,44,0.0005862,0.51,0.67
0.0066,0.0131,7.3e-07,44,0.0005732,0.62,0.68
0.0066,0.0131,7.3e-07,44,0.0005732,0.62,0.68
0.0066,0.0133,7.3e-07,44,0.0005862,0.60,0.67
0.0048,0.0097,3.0e-07,18,0.0002996,0.63,0.72
0.0053,0.0105,2.5e-07,15,0.0002736,0.41,0.70
0.0082,0.0163,1.0e-06,62,0.0007165,0.45,0.69
0.0054,0.0108,5.0e-07,30,0.0004690,0.75,0.65
0.0071,0.0142,9.1e-07,55,0.0007165,0.60,0.64
0.0061,0.0122,5.8e-07,35,0.0004820,0.61,0.70
0.0087,0.0173,9.8e-07,59,0.0007686,0.36,0.62
0.0085,0.0169,9.8e-07,59,0.0007165,0.39,0.67
0.0079,0.0158,9.8e-07,59,0.0007165,0.47,0.67
0.0086,0.0172,9.8e-07,59,0.0007556,0.37,0.63
0.0054,0.0108,4.0e-07,24,0.0003778,0.60,0.69
0.0045,0.0090,2.2e-07,13,0.0002736,0.56,0.64
0.0066,0.0133,6.2e-07,37,0.0005211,0.50,0.67
0.0042,0.0085,1.5e-07,9,0.0001824,0.47,0.75
0.0053,0.0106,3.2e-07,19,0.0003257,0.51,0.69
0.0073,0.0147,1.0e-06,62,0.0007686,0.62,0.64
0.0061,0.0121,5.5e-07,33,0.0004690,0.59,0.69
0.0048,0.0096,2.7e-07,16,0.0002866,0.57,0.70
0.0044,0.0088,1.8e-07,11,0.0002345,0.51,0.66
0.0057,0.0114,4.5e-07,27,0.0004169,0.58,0.68
0.0049,0.0098,3.2e-07,19,0.0003257,0.63,0.69
0.0069,0.0138,6.5e-07,39,0.0005602,0.47,0.65
0.0073,0.0147,1.1e-06,66,0.0007947,0.66,0.65
0.0057,0.0115,4.3e-07,26,0.0004039,0.54,0.68
0.0063,0.0126,6.2e-07,37,0.0005211,0.59,0.67
0.0054,0.0108,3.3e-07,20,0.0003648,0.50,0.64
0.0060,0.0119,4.7e-07,28,0.0004429,0.52,0.66
0.0056,0.0112,4.2e-07,25,0.0003778,0.56,0.71
0.0079,0.0158,8.6e-07,52,0.0006644,0.42,0.66
0.0061,0.0122,5.2e-07,31,0.0004690,0.54,0.66
0.0058,0.0115,4.5e-07,27,0.0004169,0.56,0.68
0.0048,0.0096,2.7e-07,16,0.0002866,0.57,0.70
0.0062,0.0124,5.2e-07,31,0.0004950,0.52,0.63
0.0072,0.0144,8.0e-07,48,0.0006384,0.51,0.65
0.0067,0.0135,7.3e-07,44,0.0005993,0.57,0.66
0.0060,0.0120,4.7e-07,28,0.0003908,0.52,0.74
0.0043,0.0087,1.7e-07,10,0.0002084,0.48,0.70
0.0059,0.0118,5.2e-07,31,0.0004690,0.59,0.66
0.0041,0.0083,1.3e-07,8,0.0001824,0.45,0.69
0.0050,0.0101,3.3e-07,20,0.0003257,0.62,0.71
0.0062,0.0124,5.5e-07,33,0.0004820,0.55,0.67
0.0057,0.0115,4.2e-07,25,0.0003778,0.52,0.71
0.0058,0.0117,4.8e-07,29,0.0004560,0.58,0.65
0.0058,0.0116,4.8e-07,29,0.0004429,0.59,0.67
0.0054,0.0108,3.7e-07,22,0.0003908,0.55,0.63
0.0063,0.0126,6.5e-07,39,0.0005341,0.62,0.68
0.0054,0.0108,3.2e-07,19,0.0003387,0.48,0.66
0.0075,0.0149,7.6e-07,46,0.0006514,0.44,0.62
0.0059,0.0119,5.7e-07,34,0.0004950,0.64,0.67
0.0069,0.0138,8.0e-07,48,0.0006383,0.58,0.65
0.0070,0.0140,8.1e-07,49,0.0006644,0.56,0.63
0.0071,0.0142,8.1e-07,49,0.0006253,0.55,0.67
0.0069,0.0138,8.1e-07,49,0.0006514,0.59,0.65
0.0070,0.0140,8.1e-07,49,0.0006253,0.57,0.67
0.0069,0.0139,8.1e-07,49,0.0006384,0.58,0.66
