"","time","ISense [mV]","Current [A]","USample [mV]"
"198",3729845210.074,4.216851,0.8433702,0.216924
"199",3729845210.506,4.351195,0.870239,0.219398
"200",3729845210.943,4.152706,0.8305412,0.17447
"201",3729845211.375,4.151563,0.8303126,0.177695
"202",3729845211.8,4.146264,0.8292528,0.174837
"203",3729845212.235,4.147312,0.8294624,0.17687
"204",3729845212.662,4.140016,0.8280032,0.177983
"205",3729845213.094,4.135306,0.8270612,0.178221
"206",3729845213.533,4.146384,0.8292768,0.176216
"207",3729845213.968,4.143744,0.8287488,0.174085
"208",3729845214.399,4.148243,0.8296486,0.176164
"209",3729845214.828,4.144467,0.8288934,0.177353
"210",3729845215.257,4.145393,0.8290786,0.1767
"211",3729845215.688,4.140967,0.8281934,0.177773
"212",3729845216.116,4.143833,0.8287666,0.177749
"213",3729845216.546,4.154855,0.830971,0.17755
"214",3729845216.97,4.138808,0.8277616,0.179581
"215",3729845217.394,4.145319,0.8290638,0.180759
"216",3729845217.817,4.135477,0.8270954,0.176573
"217",3729845218.246,4.135906,0.8271812,0.1788
"218",3729845218.675,4.1405,0.8281,0.17821
"219",3729845219.112,4.145898,0.8291796,0.174592
"220",3729845219.545,4.160596,0.8321192,0.211072
"221",3729845219.982,4.127207,0.8254414,0.179503
"222",3729845220.421,4.142247,0.8284494,0.178199
"223",3729845220.866,4.149622,0.8299244,0.176141
"224",3729845221.297,4.138031,0.8276062,0.181519
"225",3729845221.732,4.139787,0.8279574,0.176074
"226",3729845222.161,4.149221,0.8298442,0.178525
"227",3729845222.595,4.135631,0.8271262,0.179432
"228",3729845223.032,4.142747,0.8285494,0.181797
"229",3729845223.468,4.133557,0.8267114,0.184082
"230",3729845223.904,4.152547,0.8305094,0.176853
"231",3729845224.336,4.153826,0.8307652,0.175772
"232",3729845224.767,4.15103,0.830206,0.180339
"233",3729845225.197,4.149497,0.8298994,0.176704
"234",3729845225.626,4.146679,0.8293358,0.179448
"235",3729845226.049,4.147674,0.8295348,0.179411
"236",3729845226.484,4.130939,0.8261878,0.177594
"237",3729845226.918,4.143725,0.828745,0.182535
"238",3729845227.355,4.144032,0.8288064,0.179103
"239",3729845227.792,4.146715,0.829343,0.177995
"240",3729845228.221,4.161574,0.8323148,0.177987
"241",3729845228.643,4.153423,0.8306846,0.180312
"242",3729845229.066,4.148395,0.829679,0.221681
"243",3729845229.497,4.374409,0.8748818,0.222476
"244",3729845229.933,4.138669,0.8277338,0.176963
"245",3729845230.367,4.158001,0.8316002,0.175733
"246",3729845230.792,4.206232,0.8412464,0.195024
"247",3729845231.215,4.199949,0.8399898,0.220284
"248",3729845231.637,4.184868,0.8369736,0.223038
"249",3729845232.071,4.236997,0.8473994,0.216737
"250",3729845232.501,4.143619,0.8287238,0.179688
"251",3729845232.937,4.139213,0.8278426,0.175856
"252",3729845233.372,4.142842,0.8285684,0.179128
"253",3729845233.811,4.133833,0.8267666,0.179006
"254",3729845234.246,4.13169,0.826338,0.176406
"255",3729845234.672,4.147107,0.8294214,0.178064
"256",3729845235.097,4.141626,0.8283252,0.175442
"257",3729845235.529,4.151688,0.8303376,0.178173
"258",3729845235.965,4.151191,0.8302382,0.179395
"259",3729845236.396,4.160787,0.8321574,0.177032
"260",3729845236.825,4.171114,0.8342228,0.181914
"261",3729845237.254,4.174321,0.8348642,0.17847
"262",3729845237.688,4.182036,0.8364072,0.181078
"263",3729845238.124,4.179281,0.8358562,0.179299
"264",3729845238.56,4.173773,0.8347546,0.179952
"265",3729845238.996,4.171077,0.8342154,0.177221
"266",3729845239.42,4.188133,0.8376266,0.179654
"267",3729845239.842,4.159934,0.8319868,0.181177
"268",3729845240.268,4.169797,0.8339594,0.214774
"269",3729845240.701,4.187328,0.8374656,0.179131
"270",3729845241.138,4.182581,0.8365162,0.179051
"271",3729845241.574,4.175141,0.8350282,0.179654
"272",3729845242.011,4.160533,0.8321066,0.179825
"273",3729845242.445,4.165965,0.833193,0.179032
"274",3729845242.887,4.17083,0.834166,0.180243
"275",3729845243.322,4.174518,0.8349036,0.179232
"276",3729845243.756,4.175664,0.8351328,0.179077
"277",3729845244.182,4.185687,0.8371374,0.179712
"278",3729845244.604,4.184278,0.8368556,0.182094
"279",3729845245.028,4.241081,0.8482162,0.225691
"280",3729845245.453,4.16483,0.832966,0.182702
"281",3729845245.887,4.16838,0.833676,0.176299
"282",3729845246.323,4.163455,0.832691,0.179972
"283",3729845246.758,4.164443,0.8328886,0.179394
"284",3729845247.197,4.158441,0.8316882,0.179183
"285",3729845247.636,4.171864,0.8343728,0.181517
"286",3729845248.077,4.172559,0.8345118,0.179487
"287",3729845248.508,4.16295,0.83259,0.180334
"288",3729845248.966,4.176135,0.835227,0.180279
"289",3729845249.406,4.190477,0.8380954,0.180275
"290",3729845249.84,4.20633,0.841266,0.182531
"291",3729845250.28,4.207552,0.8415104,0.186375
"292",3729845250.716,4.217658,0.8435316,0.178955
"293",3729845251.152,4.221031,0.8442062,0.179919
"294",3729845251.591,4.217414,0.8434828,0.179478
"295",3729845252.027,4.216284,0.8432568,0.177522
"296",3729845252.46,4.229466,0.8458932,0.18199
"297",3729845252.892,4.233898,0.8467796,0.18049
"298",3729845253.326,4.232984,0.8465968,0.178391
"299",3729845253.765,4.2359,0.84718,0.180673
"300",3729845254.204,4.243996,0.8487992,0.177231
"301",3729845254.632,4.249352,0.8498704,0.176042
"302",3729845255.066,4.253191,0.8506382,0.17525
"303",3729845255.494,4.259835,0.851967,0.179085
"304",3729845255.917,4.230373,0.8460746,0.179719
"305",3729845256.342,4.206975,0.841395,0.178318
"306",3729845256.789,4.200313,0.8400626,0.176523
"307",3729845257.225,4.220356,0.8440712,0.175748
"308",3729845257.67,4.208617,0.8417234,0.180431
"309",3729845258.117,4.198474,0.8396948,0.179519
"310",3729845258.561,4.199193,0.8398386,0.179932
"311",3729845258.999,4.145226,0.8290452,0.179641
"312",3729845259.436,4.083926,0.8167852,0.174057
"313",3729845259.868,4.070756,0.8141512,0.172832
"314",3729845260.294,4.085265,0.817053,0.174857
"315",3729845260.728,4.076105,0.815221,0.174877
"316",3729845261.153,4.079488,0.8158976,0.174483
"317",3729845261.576,4.082037,0.8164074,0.177218
